case,optimizer,runtime_sec,wirelength,tmax,top1,top5,thermal,outline_penalty,overlap_penalty,total_cost,solver_success,solver_message,solver_objective,phases
Case4,atmplace,24.32921462500235,167183.75894759796,63.69662458132718,63.51219254546242,62.78365593814514,62.78365593814514,0.0,0.0,0.7591181315989367,True,spectral clump seed,206384.2388031999,"[{'phase': 'initial', 'wirelength': 220234.17962031477, 'wirelength_m': 220.23417962031476, 'total_cost': 22.19752148143204, 'overlap_penalty': 0.2649690185179005, 'outline_penalty': 0.0}, {'phase': 'spectral_seed', 'wirelength': 206384.2388031999, 'wirelength_m': 206.3842388031999, 'total_cost': 0.9371126641605211, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'orientation_cgd', 'wirelength': 223845.27858479976, 'wirelength_m': 223.84527858479976, 'total_cost': 1.0163966327602307, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'legalization', 'wirelength': 167183.75894759796, 'wirelength_m': 167.18375894759797, 'total_cost': 0.7591181315989367, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}]"
Case5,atmplace,24.221562750055455,68594.59348940125,53.01877335956593,52.842539910550386,52.139555080186184,52.139555080186184,0.0,0.0,0.6325813918540277,True,spectral clump seed,127455.74312779988,"[{'phase': 'initial', 'wirelength': 108435.99633615193, 'wirelength_m': 108.43599633615193, 'total_cost': 40.84198464248251, 'overlap_penalty': 0.4980248080310314, 'outline_penalty': 0.0}, {'phase': 'spectral_seed', 'wirelength': 127455.74312779988, 'wirelength_m': 127.45574312779989, 'total_cost': 1.1754006735243772, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'orientation_cgd', 'wirelength': 127455.74312779988, 'wirelength_m': 127.45574312779989, 'total_cost': 1.1754006735243772, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'legalization', 'wirelength': 68594.59348940125, 'wirelength_m': 68.59459348940125, 'total_cost': 0.6325813918540277, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}]"
Case6,atmplace,22.454786374990363,66437.06070960007,40.61717774249752,40.37696246771805,39.558566878255746,39.558566878255746,0.0,0.0,0.3566616856663407,True,spectral clump seed,168313.12000000066,"[{'phase': 'initial', 'wirelength': 186274.7342358281, 'wirelength_m': 186.2747342358281, 'total_cost': 38.777315397196816, 'overlap_penalty': 0.4722164424649602, 'outline_penalty': 0.0}, {'phase': 'spectral_seed', 'wirelength': 168313.12000000066, 'wirelength_m': 168.31312000000068, 'total_cost': 0.9035746081747854, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'orientation_cgd', 'wirelength': 130041.1192432005, 'wirelength_m': 130.0411192432005, 'total_cost': 0.698114641133056, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'legalization', 'wirelength': 66437.06070960007, 'wirelength_m': 66.43706070960008, 'total_cost': 0.3566616856663407, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}]"
Case7,atmplace,16.48501495894743,16831.760150580045,30.657667863534485,30.59721619080264,30.355489954118873,30.355489954118873,0.0,0.0,0.34305333939694765,True,spectral clump seed,38946.99003124003,"[{'phase': 'initial', 'wirelength': 49064.5570749101, 'wirelength_m': 49.064557074910105, 'total_cost': 16.00150545730258, 'overlap_penalty': 0.18751881821628227, 'outline_penalty': 0.0}, {'phase': 'spectral_seed', 'wirelength': 38946.99003124003, 'wirelength_m': 38.94699003124003, 'total_cost': 0.7937907188640689, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'orientation_cgd', 'wirelength': 46134.96003288012, 'wirelength_m': 46.134960032880116, 'total_cost': 0.9402909713918913, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'legalization', 'wirelength': 16831.760150580045, 'wirelength_m': 16.831760150580045, 'total_cost': 0.34305333939694765, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}]"
Case8,atmplace,20.42383616603911,25668.559956500183,27.732809096547307,27.703572805629037,27.601008408352413,27.601008408352413,0.0,0.0,0.5727686249631272,True,spectral clump seed,34104.31996399993,"[{'phase': 'initial', 'wirelength': 44814.88482046766, 'wirelength_m': 44.81488482046766, 'total_cost': 15.15241606695943, 'overlap_penalty': 0.17690520083699288, 'outline_penalty': 0.0}, {'phase': 'spectral_seed', 'wirelength': 34104.31996399993, 'wirelength_m': 34.10431996399993, 'total_cost': 0.761004298027872, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'orientation_cgd', 'wirelength': 33594.71978799997, 'wirelength_m': 33.59471978799997, 'total_cost': 0.7496330721942799, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}, {'phase': 'legalization', 'wirelength': 25668.559956500183, 'wirelength_m': 25.668559956500182, 'total_cost': 0.5727686249631272, 'overlap_penalty': 0.0, 'outline_penalty': 0.0}]"
